[00:00.000 --> 00:02.000]  We've got it.
[00:02.000 --> 00:04.000]  This transmission is coming to you.
[00:07.000 --> 00:10.000]  Waging war on corruption.
[00:10.000 --> 00:12.000]  Oh, thank you, Alex Jones.
[00:12.000 --> 00:18.000]  It's Alex Jones, coming to you live from the front lines of the Infowar.
[00:20.000 --> 00:22.000]  We see the Earth.
[00:22.000 --> 00:24.000]  We've got it.
[00:26.000 --> 00:28.000]  We see the Earth now.
[00:28.000 --> 00:34.000]  DA14 is now rapidly accelerating past the Earth on its elliptical orbit.
[00:34.000 --> 00:38.000]  We'll reportedly be back our way for another 267 years.
[00:40.000 --> 00:41.000]  I don't know when it's going to be back.
[00:41.000 --> 00:44.000]  I just thought I'd have some fun with a regular intro,
[00:44.000 --> 00:49.000]  being astronauts from the Apollo program saying we see the Earth from here.
[00:49.000 --> 00:57.000]  Ladies and gentlemen, it is Sunday the 17th day of February 2013.
[00:57.000 --> 01:06.000]  Stuart Rhodes of Oath Keepers will be joining us to break down the open military training to condition the military,
[01:06.000 --> 01:12.000]  the police, and the public to acclimate us for open martial law.
[01:12.000 --> 01:14.000]  The TSA checkpoints expanding.
[01:14.000 --> 01:19.000]  Everything we warned about were called conspiracy theorists for being well researched
[01:19.000 --> 01:22.000]  and actually going to the government documents and finding out about what was happening.
[01:22.000 --> 01:24.000]  It's now unfolding out in the open.
[01:24.000 --> 01:29.000]  And we'll also get into a California police chief and others saying,
[01:29.000 --> 01:31.000]  the citizens should not have any guns.
[01:31.000 --> 01:33.000]  Guns are not defensive weapons.
[01:33.000 --> 01:35.000]  Therefore, the police to intimidate us with.
[01:35.000 --> 01:40.000]  He basically says that, very bizarre, but actually it's bizarre he'd be so truthful.
[01:40.000 --> 01:44.000]  It was like a police chief, what was it, in Maryland, Baltimore a few years ago said,
[01:44.000 --> 01:47.000]  we wear black uniforms and ski masks to intimidate you.
[01:49.000 --> 01:52.000]  And he was talking about why they wanted to militarize more police.
[01:52.000 --> 01:56.000]  So the idea is government's God, everybody else is criminals.
[01:56.000 --> 01:59.000]  And the state is here to basically feed on us.
[01:59.000 --> 02:01.000]  So that is coming up.
[02:01.000 --> 02:06.000]  Alan Greenspan, of course, years ago famously said the Federal Reserve is above the law
[02:06.000 --> 02:10.000]  and no group of government can oversee it, which is asinine.
[02:10.000 --> 02:13.000]  It's clearly in the Constitution that that is the Congress.
[02:13.000 --> 02:16.000]  We're going to play that clip later, but there's a new clip where he said
[02:16.000 --> 02:21.000]  that the odds of the government going into automatic cuts are very high.
[02:21.000 --> 02:23.000]  Well, he's a big insider.
[02:23.000 --> 02:31.000]  And that's because it's cuts on benefits, not cuts to the banker bailouts.
[02:31.000 --> 02:34.000]  I want to explain all that and break down the economy today.
[02:34.000 --> 02:36.000]  Americans' financial downfall.
[02:36.000 --> 02:44.000]  Citizens are now desperately raiding 401k plans to pay bills long before retirement.
[02:44.000 --> 02:48.000]  We're going to be going over all of that today.
[02:48.000 --> 02:54.000]  We're going to look at G20 summit to focus on currency, war, threat to the economy, and a lot more.
[02:54.000 --> 03:03.000]  And I ran across another article out of Forbes dealing with John Paul DeGoria,
[03:03.000 --> 03:10.000]  the individual worth over $4 billion started Paul Mitchell, and also Patrón Tequila,
[03:10.000 --> 03:15.000]  a truly self-made guy who was once homeless after he got out of the Navy.
[03:15.000 --> 03:20.000]  And he said, you know what, Obama, people don't need to not hire.
[03:20.000 --> 03:25.000]  But yeah, it's going to hurt the economy, this Forbes article, because Obama is raising taxes,
[03:25.000 --> 03:28.000]  not just on the rich but middle class and poor with the payroll taxes.
[03:28.000 --> 03:33.000]  But he said, you know what, I hope he wakes up that it's going to hurt the economy and comes to Jesus.
[03:33.000 --> 03:36.000]  You know, I know he doesn't really want to hurt America on purpose.
[03:36.000 --> 03:41.000]  Now, either this gentleman is naive or that's a diplomatic way of saying it.
[03:41.000 --> 03:48.000]  They want you poor except for the select insiders that are tax exempt, like the Facebook pump and dump.
[03:48.000 --> 03:52.000]  It's not enough the government let them do a pump and dump that no one else could be allowed to do
[03:52.000 --> 03:57.000]  because it's insider and they attended Bilderberg Group, Zuckerberg, and others.
[03:57.000 --> 04:08.000]  It's that now they're basically being given tax forgiveness on the profits from the pump and dump 2012.
[04:08.000 --> 04:13.000]  And it's the same thing with trillions of dollars outside the country that's tax exempt.
[04:13.000 --> 04:18.000]  They allow the select corporations to bring it back in basically tax free.
[04:18.000 --> 04:21.000]  And it's incredible. I mean, you could be a self-made billionaire.
[04:21.000 --> 04:24.000]  You're going to pay around 40% federal tax a year.
[04:24.000 --> 04:32.000]  But if you're an insider, if you're part of the good old boy club, you're not going to have any place at that table.
[04:32.000 --> 04:36.000]  And the globalists at a certain point aren't going to let you be self-made.
[04:36.000 --> 04:44.000]  Like the gentleman that created Paul Mitchell and Patron, Tequila, and so much more.
[04:44.000 --> 04:47.000]  And it started dozens of other successful businesses.
[04:47.000 --> 04:52.000]  All right, when we come back, we'll get to the latest on the asteroid and leading geneticists.
[04:52.000 --> 05:08.000]  Human intelligence is slowly declining. Who urges vigilance over new SARS virus?
[05:22.000 --> 05:27.000]  Supernatural Silver is unique and superior to colloidal and ionic silvers,
[05:27.000 --> 05:34.000]  using a patented technology that is highly effective against colds, flus, infections, food poisoning, and yeast,
[05:34.000 --> 05:36.000]  in addition to many other pathogens.
[05:36.000 --> 05:45.000]  Supernatural Silver is scientifically supported, extremely safe, and is the number one choice of thousands of people for immune system support.
[05:45.000 --> 05:48.000]  Find out how Supernatural Silver could change your life.
[05:48.000 --> 05:54.000]  Go to SupernaturalSilver.com and use the promo code HEALTHY for 20% off.
[05:54.000 --> 06:09.000]  That's SupernaturalSilver.com and like us on Facebook.
[06:09.000 --> 06:14.000]  We are on the march. The empire is on the run.
[06:14.000 --> 06:22.000]  Alex Jones and the GCN Radio Network.
[06:22.000 --> 06:26.000]  We are locked and loaded. We are live launch.
[06:26.000 --> 06:30.000]  It is Sunday, the 17th day of February 2013.
[06:30.000 --> 06:34.000]  I am your host, Alex Jones, the founder of Oath Keepers,
[06:34.000 --> 06:40.000]  constitutional Yale award-winning constitutional lawyer and former army paratrooper, Stuart Rhodes.
[06:40.000 --> 06:51.000]  The founder of Oath Keepers will be joining us in the second hour to break down not one, not two, not three, not four, not five, not six, not seven, not eight, not nine, not ten,
[06:51.000 --> 07:00.000]  14 states, and I've got a list of them here, have introduced legislation to ban physically all semi-autos and make you hand them in.
[07:00.000 --> 07:09.000]  And it has the full Democratic Party behind them from Missouri to New York State to Washington State.
[07:09.000 --> 07:12.000]  Those are just a few of them. California, you name it.
[07:12.000 --> 07:20.000]  And we have a bizarro clip, bizarro because they're so honest about it, with a major police chief leading a press conference in California
[07:20.000 --> 07:27.000]  saying because of the alleged, I mean, I think he was probably behind it because they burned him up, you'll never know,
[07:27.000 --> 07:33.000]  Chris Dorner rampage, that the citizens should have all their guns taken because only the government should have guns.
