[00:00.000 --> 00:02.000]  We've got it
[00:07.440 --> 00:09.560]  Waging war on corruption
[00:09.560 --> 00:36.560]  It's Alex Jones coming to you live from the front lines of the Infowar
[00:36.560 --> 00:44.720]  I was sitting there this morning and this afternoon with a little notebook and I'd written about 10
[00:44.720 --> 00:54.800]  pages of of text of issues that I wanted to cover here today not so much from a futurist
[00:54.800 --> 01:06.880]  perspective that's kind of what the popular lexicon would label it as an attempt to simplify things
[01:06.880 --> 01:13.520]  the future is here it's been here for a long time there are technological government and
[01:13.520 --> 01:24.720]  corporate reservations that are highly advanced above the quasi dormant post-industrial civilization
[01:24.720 --> 01:35.040]  that we live in there is a completely engineered revolution against the natural world and natural
[01:35.040 --> 01:46.560]  processes being carried out by the scientific elite and the world they are building is not
[01:46.560 --> 01:52.800]  a pretty one for the average person and the world they're building is very very cold-blooded
[01:53.840 --> 02:01.200]  and anti-family anti-human and does not look to lift up humanity but instead to end humanity as
[02:01.200 --> 02:12.800]  we know it what's frustrating about this is not the lack of proof but the ocean size amounts of
[02:12.800 --> 02:26.240]  information with the different technocrats in public communiques telegraphing their unbelievable
[02:26.240 --> 02:35.920]  disgust and disdain for public they don't really publicize their disdain but they communicate it
[02:36.960 --> 02:43.200]  in establishment journals so it is public it's open source and it's really horrible
[02:43.200 --> 02:48.000]  and then they've got all of their propaganda minions they're fake futurists and the rest
[02:48.000 --> 02:54.080]  of them that go out and proselytize to the low level and mid-level manager class
[02:54.080 --> 03:00.000]  in academia in the medical system in the financial system in the culture system
[03:02.720 --> 03:13.680]  in fact for the incredible amounts of propaganda that we see being ladled out in the so-called
[03:13.680 --> 03:25.360]  news broadcast tv cable news channels newspapers radio political books that propaganda is at least
[03:25.360 --> 03:29.760]  a little more sophisticated because it's targeting someone who's quote politically aware
[03:31.760 --> 03:39.360]  or at one level higher in complexity and understanding and one degree closer to reality
[03:39.360 --> 03:45.840]  but for the unwashed masses that just think the men with suits are running things and
[03:45.840 --> 03:52.960]  choose a politician even if they vote off of how they look it's like trying to teach
[03:54.320 --> 03:56.000]  quantum mechanics to a
[03:56.000 --> 04:09.760]  bowl weevil and it's hard enough to get the general public to look around them and realize
[04:09.760 --> 04:18.960]  that they're in the middle of deep space on a planetoid with incredible opportunities and
[04:18.960 --> 04:23.440]  wonderment all around them it's hard to get them to look up from the dirt long enough to do that
[04:23.440 --> 04:29.040]  but when the system sets everything up to keep them looking down in the dirt that's a crime
[04:29.040 --> 04:35.120]  against humanity creates blowback cycles into the elite themselves and is super bad news
[04:36.320 --> 04:42.080]  so the world is being engineered into an authoritarian system not to even shield the
[04:42.080 --> 04:50.400]  elite in the future but to just totally have a revolution against our modern world itself and
[04:50.400 --> 04:56.480]  our modern world itself and humanity the news is coming up and i'm going to break down the
[04:56.480 --> 05:02.320]  future of humanity straight ahead did you ever think you'd be where you are a decade into the
[05:02.320 --> 05:08.400]  21st century record foreclosure rates for homes if not yours your neighbors thankful for the
[05:08.400 --> 05:13.840]  unemployment check since you were laid off and placing your child's name on the angel tree in
[05:13.840 --> 05:19.120]  hopes of a christmas gift along with thousands of other americans did you ever think your future
[05:19.120 --> 05:25.360]  would feel this out of control the fact is in all this craziness there's only one thing you can
[05:25.360 --> 05:32.400]  control your greatest dependency your food supply make 2012 the year you take control by getting
[05:32.400 --> 05:38.560]  prepared e-foods direct introduces the best way to build your food supply in the 21st century get
[05:38.560 --> 05:46.400]  a 21-day supply of food free with purchase call 800-409-5633 or go to efoods direct.com forward
[05:46.400 --> 05:54.560]  slash alex take back control in 2012 call 800-409-5633 or go to efoods direct.com forward
[05:54.560 --> 06:06.240]  slash alex remember you can bet your life on efoods direct you are listening to an infowars.com
[06:06.240 --> 06:21.440]  frontline report if you are receiving this transmission you are the resistance
[06:21.440 --> 06:30.000]  from deep in the heart of fema region 6 austin texas transmitting worldwide it's alex jones
[06:30.000 --> 06:44.000]  for more than 16 years on radio i have pointed out that i come to you live from deep behind enemy
[06:44.000 --> 06:52.320]  lines fema region 6 and i remember a long time ago different radio consultants that contacted me
[06:52.320 --> 07:01.680]  over the years and vice presidents and presidents at major radio networks who contacted me it was
[07:01.680 --> 07:07.200]  always the same line okay alex there is globalism there is a move to get rid of national sovereignty
[07:07.200 --> 07:13.680]  but that's a natural progression and you need to decide whether you're going to be on a crusade
[07:14.560 --> 07:17.120]  that goes nowhere or whether you want to be a star
[07:17.120 --> 07:30.720]  and even 14 15 16 years ago when i had almost no money it was not tempting over the years to be
[07:30.720 --> 07:37.360]  offered millions and millions of dollars to go join the establishment and be in the company of
[07:37.360 --> 07:44.480]  people that don't care about you and who have sold themselves to the highest bidder over and
[07:44.480 --> 07:56.960]  over again i do not wish to sit at table or to associate with judas iscariot fellow travelers
[07:56.960 --> 08:05.840]  of that spirit and let's get one thing straight it's not because i'm some goody two-shoes it's
[08:05.840 --> 08:13.120]  not because i'm high and mighty it's because i've seen reality i've discovered reality
[08:13.120 --> 08:15.600]  i've discovered the real world
[08:17.920 --> 08:24.160]  and no amount of money is worth it to lie to the public and to try to deceive people
[08:24.800 --> 08:28.720]  with simplistic colloquialisms and pap
[08:31.280 --> 08:36.480]  because doing that is basically cutting off my own nose to spite my face it's
[08:36.480 --> 08:39.200]  gouging out my eyes and that of my children
[08:39.200 --> 08:45.520]  i cannot and i will not join with evil
[08:48.880 --> 08:59.680]  but over the years i've had so many people contact me station owners sponsors radio executives and
[08:59.680 --> 09:06.640]  they say stuff like fema region six i mean the general public doesn't even know what that is
[09:06.640 --> 09:12.240]  well why do you have a liner saying that because i want people to think about what fema region six
[09:12.240 --> 09:20.720]  means i want people to tune in at first and think oh it's hokey he's talking about broadcasting
[09:20.720 --> 09:32.880]  from deep behind enemy lines because you see i am broadcasting from behind enemy lines the
[09:32.880 --> 09:41.200]  establishment sees the united states is done as captured as run by the big megabanks the big
[09:41.200 --> 09:47.120]  ponzi scheme operators that have created the thousands i said thousands of trillions of
[09:48.000 --> 09:59.120]  dollars in fake financial instruments and bought our politicians for less than one
[09:59.120 --> 10:05.040]  one millionth of it in fact i've had a lot of political analysts on who've pointed out that
[10:05.040 --> 10:11.440]  the average politician in congress can be bought for a couple hundred thousand dollars on a major
[10:11.440 --> 10:17.920]  issue and these companies
[10:20.000 --> 10:25.840]  can go spend a couple hundred thousand dollars per politician per key politician can go spend
[10:25.840 --> 10:31.280]  a couple hundred thousand dollars per politician per key politician campaign chairman and others
[10:31.280 --> 10:36.400]  and then have government shut down their competition or give them a government contract
[10:36.400 --> 10:44.960]  worth tens of billions of dollars and so they literally buy them for pennies
[10:47.200 --> 10:54.880]  the special interest in and you see i've made it my life's work to discover who are those
